inep,status,tempo,nome_escola,uf_escola,dependencia_escola,estudantes_escola,estudantes_escola_maior_turno,vel_adequada,status_medidor,vel_download,vel_upload,latencia,jitter,perda_pacote,nro_medicoes,medicoes_escola,max_95_down,provedoresSIMET_regiao,provedor_do_estabelecimento
15590917,sucesso,33.99,Escola Escola Estadual Prof Manoel Saturnino De Andrade Favacho,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 1270 (Censo 2025),Número de estudantes no maior turno: 469 (Censo 2025),Velocidade adequada: 469Mbit/s,,,,,,,,,,,
15588831,sucesso,37.14,Escola Escola Estadual Dalcidio Jurandir,Município: Ponta De Pedras - Para,Gestão: Estadual,Número de estudantes: 608 (Censo 2025),Número de estudantes no maior turno: 287 (Censo 2025),Velocidade adequada: 287Mbit/s,,,,,,,,,,,
15588610,sucesso,14.24,Escola Escola Estadual Simao Jacinto Dos Reis,Município: Tucuruí - Para,Gestão: Estadual,Número de estudantes: 700 (Censo 2025),Número de estudantes no maior turno: 343 (Censo 2025),Velocidade adequada: 343Mbit/s,Medidor Não instalado,,,,,,,,,"Easy Embranet Serviços De Comunicação Ltda, SpaceX Starlink",SpaceX Starlink
15588599,sucesso,21.96,Escola Escola Estadual Governador Almir Gabriel,Município: Curionópolis - Para,Gestão: Estadual,Número de estudantes: 231 (Censo 2025),Número de estudantes no maior turno: 165 (Censo 2025),Velocidade adequada: 165Mbit/s,Medidor Não instalado,,,,,,,,,"Easy Embranet Serviços De Comunicação Ltda, SpaceX Starlink",
15588378,sucesso,11.76,Escola Escola Estadual Jose Salles,Município: Castanhal - Para,Gestão: Estadual,Número de estudantes: 493 (Censo 2025),Número de estudantes no maior turno: 215 (Censo 2025),Velocidade adequada: 215Mbit/s,Medidor ativo,"152,3","38,6","56,9","1,1","0,2",233,,,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink",
15587916,sucesso,29.32,Escola Escola De Ensino Tecnico Do Estado Do Para - Eetepa Tailandia,Município: Tailândia - Para,Gestão: Estadual,Número de estudantes: 944 (Censo 2025),Número de estudantes no maior turno: 384 (Censo 2025),Velocidade adequada: 384Mbit/s,Medidor Não instalado,,,,,,,,,"São Miguel Telecomunicações E Informatica Ltda M, SpaceX Starlink",
15587894,sucesso,13.98,Escola Eetepa - Itaituba,Município: Itaituba - Para,Gestão: Estadual,Número de estudantes: 424 (Censo 2025),Número de estudantes no maior turno: 185 (Censo 2025),Velocidade adequada: 185Mbit/s,Medidor ativo,"105,8","45,5","39,8","1,3",,,,,"Brasil Tecpar Amigo Avato, SpaceX Starlink",
15587886,sucesso,6.05,Escola Eetepa - Itaituba,Município: Itaituba - Para,Gestão: Estadual,Número de estudantes: 424 (Censo 2025),Número de estudantes no maior turno: 185 (Censo 2025),Velocidade adequada: 185Mbit/s,Medidor ativo,"105,8","45,5","39,8","1,3","0,5",246,,,"Brasil Tecpar Amigo Avato, SpaceX Starlink",
15587878,sucesso,19.23,Escola Centro Integrado De Educ Do Baixo Tocantins,Município: Cametá - Para,Gestão: Estadual,Número de estudantes: 599 (Censo 2025),Número de estudantes no maior turno: 242 (Censo 2025),Velocidade adequada: 242Mbit/s,Medidor ativo,"37,8","43,5","19,1","0,3","1,5",327,,,"Brasil Tecpar Amigo Avato, SpaceX Starlink",
15587711,sucesso,19.39,Escola Escola Estadual Antonio De Oliveira Gordo,Município: Moju - Para,Gestão: Estadual,Número de estudantes: 291 (Censo 2025),Número de estudantes no maior turno: 291 (Censo 2025),Velocidade adequada: 291Mbit/s,Medidor ativo,"124,2","36,2","55,2","1,2","0,5",164,163,230,"Atualnet Provedor De Internet Ltda, SpaceX Starlink",SpaceX Starlink
15587282,sucesso,19.00,Escola Escola Estadual Profa Beatriz Do Vale,Município: Alenquer - Para,Gestão: Estadual,Número de estudantes: 549 (Censo 2025),Número de estudantes no maior turno: 473 (Censo 2025),Velocidade adequada: 473Mbit/s,Medidor ativo,17,"8,2","142,9","15,9","2,9",4,4,28,"Clickip Provedores De Acesso Ltda, Telefônica Brasil Sa",Telefônica Brasil Sa
15586979,sucesso,14.27,Escola Escola Estadual Canarinho,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 260 (Censo 2025),Número de estudantes no maior turno: 132 (Censo 2025),Velocidade adequada: 132Mbit/s,Medidor ativo,"45,3","46,8",2,"0,2","0,7",112,238,48,"Wlan Sistemas Ltda Me, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",Prodepa Emp Tec Da Inf E Com Do Estado Do Pará
15586421,timeout,60.25,,,,,,,,,,,,,,,,,
